index,softwareUnderstanding,understandingConcepts,practiceSM,testSM
4401,49,52.5,43.5,59.5
4402,51,53.5,65.5,51.5
4403,37,46.5,51.5,63.5
4404,61,58.5,38.5,70.5
4405,39,47.5,61.5,45.5
4406,31,43.5,26.5,16.5
4407,19,37.5,36.5,57.5
4408,52,54.0,74.0,42.0
4409,28,42.5,24.0,44.0
4410,28,42.5,16.0,58.0
4411,34,45.5,38.0,46.0
4412,34,45.5,37.0,22.0
4413,40,48.5,48.0,26.0
4414,21,39.0,54.5,24.5
4415,45,51.0,55.5,42.5
4416,21,39.0,44.5,31.5
4417,21,39.0,56.5,48.5
4418,28,42.5,41.0,31.0
4419,34,45.5,40.0,49.0
4420,28,42.5,34.0,56.0
4421,21,39.0,22.5,31.5
4422,28,42.5,45.0,18.0
4423,25,41.0,19.5,15.5
4424,21,39.0,50.5,48.5
4425,34,45.5,66.0,60.0
4426,37,47.0,42.5,43.5
4427,56,56.5,33.0,58.0
4428,34,45.5,47.0,49.0
4429,40,48.5,25.0,24.0
4430,50,53.5,50.0,50.0
4431,54,55.5,62.0,62.0
4432,41,49.0,20.5,28.5
4433,70,63.5,58.0,62.0
4434,50,53.5,71.0,29.0
4435,41,49.0,41.5,67.5
4436,72,64.5,70.0,69.0
4437,28,42.5,51.0,56.0
4438,50,53.5,34.0,57.0
4439,28,42.5,43.0,33.0
4440,41,49.0,30.5,69.5
4441,28,42.5,60.0,60.0
4442,56,56.5,44.0,74.0
4443,28,42.5,47.0,34.0
4444,14,35.5,18.0,53.0
4445,37,47.0,46.5,22.5
4446,44,50.5,31.0,24.0
4447,47,52.0,61.5,44.5
4448,31,44.0,15.5,34.5
4449,30,43.5,24.0,18.0
4450,38,47.5,64.0,47.0
4451,26,41.5,57.0,44.0
4452,32,44.5,53.0,44.0
4453,24,40.5,40.0,52.0
4454,32,44.5,34.0,43.0
4455,38,47.5,60.0,27.0
4456,38,47.5,40.0,47.0
4457,32,44.5,41.0,48.0
4458,32,44.5,27.0,17.0
4459,36,46.5,66.0,23.0
4460,38,47.5,24.0,30.0
4461,32,44.5,48.0,43.0
4462,32,44.5,51.0,61.0
4463,66,61.5,70.0,73.0
4464,38,47.5,30.0,29.0
4465,47,52.0,55.5,45.5
4466,26,41.5,14.0,51.0
4467,32,44.5,19.0,47.0
4468,63,60.0,56.5,67.5
4469,32,44.5,52.0,29.0
4470,37,47.0,40.5,58.5
4471,64,60.5,49.0,63.0
4472,67,62.0,56.5,33.5
4473,32,44.5,58.0,51.0
4474,57,57.0,45.5,61.5
4475,58,57.5,63.0,48.0
4476,31,44.0,63.5,34.5
4477,58,57.5,37.0,70.0
4478,31,44.0,61.5,19.5
4479,46,51.5,66.0,49.0
4480,46,51.5,64.0,56.0
4481,39,48.0,47.5,31.5
4482,54,55.5,77.0,31.0
4483,39,48.0,39.5,37.5
4484,39,48.0,43.5,50.5
4485,26,41.5,33.0,22.0
4486,29,43.0,58.5,27.5
4487,67,62.0,60.5,60.5
4488,32,44.5,65.0,18.0
4489,62,59.5,74.0,42.0
4490,39,48.0,62.5,22.5
4491,33,45.0,46.5,50.5
4492,29,43.0,41.5,20.5
4493,53,55.0,67.5,59.5
4494,37,47.0,46.5,27.5
4495,35,46.0,61.5,21.5
4496,43,50.0,28.5,52.5
4497,39,48.0,42.5,20.5
4498,58,57.5,39.0,48.0
4499,64,60.5,65.0,56.0
4500,58,57.5,71.0,72.0
4501,45,51.0,23.5,46.5
4502,39,48.0,67.5,56.5
4503,56,56.5,47.0,53.0
4504,53,55.0,34.5,51.5
4505,58,57.5,71.0,76.0
4506,9,33.0,29.5,51.5
4507,39,48.0,25.5,61.5
4508,35,46.0,67.5,39.5
4509,53,55.0,54.5,64.5
4510,46,51.5,40.0,45.0
4511,35,46.0,28.5,21.5
4512,49,53.0,34.5,66.5
4513,35,46.0,50.5,38.5
4514,18,37.5,57.0,48.0
4515,35,46.0,58.5,36.5
4516,35,46.0,17.5,52.5
4517,43,50.0,56.5,53.5
4518,35,46.0,57.5,64.5
4519,18,37.5,53.0,16.0
4520,18,37.5,52.0,54.0
4521,35,46.0,59.5,55.5
4522,35,46.0,46.5,53.5
4523,52,54.5,47.0,48.0
4524,16,36.5,58.0,44.0
4525,39,48.0,63.5,45.5
4526,43,50.0,37.5,37.5
4527,43,50.0,61.5,47.5
4528,49,53.0,53.5,49.5
4529,35,46.0,61.5,55.5
4530,43,50.0,37.5,50.5
4531,33,45.0,56.5,32.5
4532,33,45.0,47.5,28.5
4533,76,66.5,52.0,68.0
4534,46,51.5,38.0,72.0
4535,23,40.0,32.5,25.5
4536,43,50.0,42.5,44.5
4537,54,55.5,30.0,56.0
4538,33,45.0,27.5,52.5
4539,68,62.5,57.0,74.0
4540,23,40.0,48.5,28.5
4541,18,37.5,29.0,59.0
4542,49,53.0,24.5,71.5
4543,11,34.0,18.5,34.5
4544,40,48.5,58.0,36.0
4545,35,46.0,59.5,24.5
4546,12,34.5,6.0,42.0
4547,45,51.0,47.5,22.5
4548,35,46.0,22.5,54.5
4549,31,44.0,33.5,51.5
4550,45,51.0,60.5,44.5
4551,69,63.0,39.5,78.5
4552,40,48.5,64.0,60.0
4553,40,48.5,54.0,29.0
4554,49,53.0,39.5,52.5
4555,35,46.0,49.5,26.5
4556,40,48.5,31.0,40.0
4557,31,44.0,22.5,29.5
4558,35,46.0,36.5,34.5
4559,12,34.5,46.0,52.0
4560,42,49.5,57.0,28.0
4561,51,54.0,37.5,47.5
4562,61,59.0,51.5,47.5
4563,33,45.0,65.5,48.5
4564,42,49.5,61.0,24.0
4565,49,53.0,36.5,50.5
4566,74,65.5,58.0,37.0
4567,40,48.5,54.0,27.0
4568,33,45.0,26.5,26.5
4569,46,51.5,56.0,68.0
4570,26,41.5,20.0,53.0
4571,37,47.0,61.5,36.5
4572,34,45.5,33.0,47.0
4573,42,49.5,36.0,63.0
4574,33,45.0,45.5,63.5
4575,40,48.5,21.0,59.0
4576,70,63.5,70.0,66.0
4577,49,53.0,61.5,65.5
4578,50,53.5,53.0,51.0
4579,15,36.0,43.5,10.5
4580,42,49.5,40.0,65.0
4581,34,45.5,17.0,67.0
4582,28,42.5,26.0,64.0
4583,25,41.0,48.5,49.5
4584,47,52.5,25.5,43.5
4585,43,50.5,52.5,25.5
4586,38,48.0,65.0,36.0
4587,33,45.5,29.5,52.5
4588,57,57.5,63.5,28.5
4589,29,43.5,47.5,50.5
4590,30,44.0,38.0,19.0
4591,56,57.0,73.0,57.0
4592,35,46.5,27.5,37.5
4593,59,58.5,54.5,66.5
4594,52,55.0,52.0,57.0
4595,15,36.5,7.5,49.5
4596,30,44.0,58.0,57.0
4597,38,48.0,29.0,26.0
4598,56,57.0,72.0,73.0
4599,48,53.0,51.0,62.0
4600,52,55.0,76.0,27.0
4601,47,52.5,53.5,55.5
4602,53,55.5,57.5,29.5
4603,25,41.5,12.5,39.5
4604,25,41.5,47.5,45.5
4605,29,43.5,59.5,55.5
4606,68,63.0,37.0,43.0
4607,25,41.5,56.5,56.5
4608,65,61.5,78.5,60.5
4609,49,53.5,57.5,49.5
4610,18,38.0,50.0,31.0
4611,40,49.0,24.0,52.0
4612,17,37.5,31.5,12.5
4613,45,51.5,65.5,41.5
4614,40,49.0,55.0,58.0
4615,47,52.5,40.5,24.5
4616,44,51.0,26.0,25.0
4617,47,52.5,67.5,60.5
4618,28,43.0,25.0,60.0
4619,51,54.5,63.5,29.5
4620,61,59.5,30.5,44.5
4621,31,44.5,34.5,49.5
4622,22,40.0,30.0,50.0
4623,31,44.5,30.5,44.5
4624,46,52.0,62.0,66.0
4625,36,47.0,67.0,67.0
4626,45,51.5,38.5,38.5
4627,36,47.0,20.0,19.0
4628,46,52.0,50.0,25.0
4629,28,43.0,57.0,23.0
4630,42,50.0,69.0,45.0
4631,36,47.0,49.0,51.0
4632,40,49.0,35.0,25.0
4633,49,53.5,42.5,61.5
4634,54,56.0,56.0,45.0
4635,61,59.5,72.5,52.5
4636,42,50.0,51.0,29.0
4637,68,63.0,34.0,42.0
4638,18,38.0,41.0,9.0
4639,75,66.5,37.5,53.5
4640,29,43.5,28.5,50.5
4641,42,50.0,68.0,29.0
4642,36,47.0,33.0,22.0
4643,69,63.5,67.5,82.5
4644,33,45.5,41.5,24.5
4645,40,49.0,54.0,62.0
4646,19,38.5,47.5,59.5
4647,41,49.5,60.5,67.5
4648,72,65.0,69.0,52.0
4649,49,53.5,73.5,25.5
4650,40,49.0,37.0,38.0
4651,41,49.5,42.5,22.5
4652,44,51.0,61.0,67.0
4653,28,43.0,35.0,29.0
4654,28,43.0,48.0,57.0
4655,37,47.5,57.5,41.5
4656,24,41.0,60.0,53.0
4657,33,45.5,27.5,60.5
4658,33,45.5,65.5,38.5
4659,40,49.0,70.0,49.0
4660,34,46.0,48.0,64.0
4661,49,53.5,63.5,42.5
4662,28,43.0,49.0,43.0
4663,24,41.0,38.0,51.0
4664,73,65.5,72.5,67.5
4665,55,56.5,76.5,34.5
4666,15,36.5,50.5,10.5
4667,61,59.5,77.5,35.5
4668,43,50.5,51.5,28.5
4669,50,54.0,28.0,30.0
4670,32,45.0,29.0,41.0
4671,58,58.0,60.0,49.0
4672,43,50.5,30.5,22.5
4673,32,45.0,35.0,57.0
4674,29,43.5,16.5,56.5
4675,51,54.5,37.5,46.5
4676,44,51.0,42.0,61.0
4677,40,49.0,56.0,69.0
4678,62,60.0,79.0,75.0
4679,51,54.5,58.5,66.5
4680,56,57.0,65.0,71.0
4681,28,43.0,15.0,41.0
4682,25,41.5,44.5,61.5
4683,38,48.0,40.0,32.0
4684,64,61.0,38.0,60.0
4685,25,41.5,61.5,12.5
4686,43,50.5,47.5,26.5
4687,32,45.0,25.0,48.0
4688,74,66.0,72.0,57.0
4689,62,60.0,50.0,35.0
4690,50,54.0,55.0,57.0
4691,69,63.5,66.5,34.5
4692,23,40.5,39.5,30.5
4693,35,46.5,49.5,54.5
4694,43,50.5,34.5,57.5
4695,28,43.0,46.0,42.0
4696,19,38.5,15.5,19.5
4697,25,41.5,43.5,16.5
4698,34,46.0,50.0,42.0
4699,35,46.5,58.5,25.5
4700,30,44.0,49.0,18.0
4701,47,52.5,65.5,71.5
4702,28,43.0,32.0,28.0
4703,18,38.0,40.0,32.0
4704,33,45.5,38.5,29.5
4705,43,50.5,25.5,38.5
4706,50,54.0,74.0,59.0
4707,29,43.5,18.5,59.5
4708,50,54.0,41.0,56.0
4709,21,39.5,19.5,30.5
4710,49,53.5,58.5,42.5
4711,32,45.0,64.0,27.0
4712,43,50.5,40.5,52.5
4713,35,46.5,67.5,43.5
4714,32,45.0,22.0,55.0
4715,21,39.5,58.5,50.5
4716,35,46.5,57.5,43.5
4717,32,45.0,61.0,36.0
4718,42,50.0,35.0,71.0
4719,32,45.0,66.0,23.0
4720,46,52.0,54.0,33.0
4721,51,54.5,56.5,75.5
4722,37,47.5,65.5,63.5
4723,43,50.5,58.5,51.5
4724,43,50.5,65.5,64.5
4725,38,48.0,58.0,56.0
4726,46,52.0,52.0,45.0
4727,64,61.0,38.0,35.0
4728,60,59.0,79.0,80.0
4729,35,46.5,34.5,38.5
4730,33,45.5,50.5,47.5
4731,16,37.0,34.0,48.0
4732,43,50.5,34.5,46.5
4733,35,46.5,41.5,60.5
4734,52,55.0,65.0,38.0
4735,19,38.5,27.5,34.5
4736,58,58.0,54.0,68.0
4737,18,38.0,26.0,13.0
4738,39,48.5,21.5,55.5
4739,45,51.5,60.5,47.5
4740,73,65.5,44.5,55.5
4741,39,48.5,46.5,29.5
4742,73,65.5,70.5,48.5
4743,35,46.5,26.5,18.5
4744,19,38.5,10.5,24.5
4745,29,43.5,59.5,14.5
4746,53,55.5,29.5,56.5
4747,39,48.5,28.5,40.5
4748,24,41.0,19.0,33.0
4749,35,46.5,67.5,37.5
4750,58,58.0,63.0,71.0
4751,69,63.5,54.5,78.5
4752,50,54.0,55.0,57.0
4753,74,66.0,77.0,43.0
4754,35,46.5,44.5,18.5
4755,40,49.0,30.0,51.0
4756,43,50.5,28.5,38.5
4757,39,48.5,32.5,44.5
4758,32,45.0,50.0,59.0
4759,31,44.5,50.5,48.5
4760,28,43.0,16.0,57.0
4761,41,49.5,62.5,57.5
4762,40,49.0,50.0,66.0
4763,42,50.0,34.0,43.0
4764,43,51.0,71.5,38.5
4765,44,51.5,36.0,71.0
4766,36,47.5,59.0,42.0
4767,44,51.5,31.0,44.0
4768,31,45.0,43.5,21.5
4769,30,44.5,43.0,29.0
4770,18,38.5,28.0,31.0
4771,18,38.5,44.0,18.0
4772,44,51.5,25.0,60.0
4773,30,44.5,34.0,49.0
4774,36,47.5,58.0,34.0
4775,18,38.5,44.0,31.0
4776,30,44.5,50.0,37.0
4777,64,61.5,38.0,52.0
4778,45,52.0,24.5,45.5
4779,53,56.0,32.5,57.5
4780,53,56.0,44.5,72.5
4781,35,47.0,25.5,57.5
4782,37,48.0,46.5,46.5
4783,36,47.5,18.0,32.0
4784,35,47.0,53.5,38.5
4785,23,41.0,38.5,40.5
4786,53,56.0,62.5,61.5
4787,53,56.0,53.5,54.5
4788,36,47.5,36.0,19.0
4789,57,58.0,56.5,74.5
4790,36,47.5,52.0,30.0
4791,35,47.0,30.5,32.5
4792,35,47.0,43.5,22.5
4793,53,56.0,30.5,27.5
4794,36,47.5,26.0,38.0
4795,35,47.0,45.5,41.5
4796,53,56.0,76.5,59.5
4797,25,42.0,27.5,22.5
4798,38,48.5,35.0,46.0
4799,53,56.0,70.5,40.5
4800,23,41.0,54.5,52.5
4801,38,48.5,59.0,60.0
4802,52,55.5,50.0,71.0
4803,38,48.5,26.0,68.0
4804,52,55.5,61.0,64.0
4805,52,55.5,71.0,68.0
4806,79,69.0,51.5,85.5
4807,57,58.0,30.5,60.5
4808,38,48.5,56.0,60.0
4809,52,55.5,73.0,66.0
4810,52,55.5,65.0,50.0
4811,35,47.0,27.5,17.5
4812,52,55.5,48.0,38.0
4813,38,48.5,62.0,62.0
4814,58,58.5,61.0,42.0
4815,58,58.5,53.0,62.0
4816,52,55.5,65.0,64.0
4817,52,55.5,48.0,45.0
4818,52,55.5,63.0,43.0
4819,26,42.5,35.0,25.0
4820,26,42.5,16.0,28.0
4821,58,58.5,55.0,78.0
4822,58,58.5,50.0,49.0
4823,39,49.0,65.5,62.5
4824,51,55.0,65.5,33.5
4825,75,67.0,85.5,66.5
4826,26,42.5,43.0,49.0
4827,34,46.5,46.0,35.0
4828,39,49.0,29.5,56.5
4829,39,49.0,56.5,54.5
4830,39,49.0,48.5,19.5
4831,39,49.0,64.5,63.5
4832,39,49.0,59.5,68.5
4833,39,49.0,68.5,63.5
4834,26,42.5,32.0,38.0
4835,39,49.0,54.5,23.5
4836,34,46.5,55.0,53.0
4837,74,66.5,66.0,37.0
4838,50,54.5,72.0,58.0
4839,25,42.0,38.5,23.5
4840,37,48.0,25.5,54.5
4841,40,49.5,52.0,44.0
4842,59,59.0,65.5,60.5
4843,21,40.0,51.5,16.5
4844,25,42.0,39.5,30.5
4845,21,40.0,19.5,29.5
4846,34,46.5,39.0,66.0
4847,21,40.0,34.5,44.5
4848,21,40.0,32.5,59.5
4849,21,40.0,13.5,19.5
4850,27,43.0,38.5,50.5
4851,21,40.0,25.5,45.5
4852,40,49.5,67.0,68.0
4853,50,54.5,65.0,31.0
4854,40,49.5,51.0,64.0
4855,25,42.0,29.5,45.5
4856,50,54.5,33.0,72.0
4857,21,40.0,16.5,36.5
4858,33,46.0,63.5,17.5
4859,27,43.0,36.5,51.5
4860,59,59.0,66.5,41.5
4861,33,46.0,23.5,32.5
4862,27,43.0,61.5,24.5
4863,36,47.5,67.0,54.0
4864,40,49.5,41.0,47.0
4865,33,46.0,45.5,39.5
4866,50,54.5,39.0,66.0
4867,33,46.0,62.5,24.5
4868,14,36.5,38.0,29.0
4869,60,59.5,74.0,75.0
4870,71,65.0,40.5,67.5
4871,60,59.5,35.0,44.0
4872,49,54.0,37.5,67.5
4873,33,46.0,60.5,66.5
4874,14,36.5,22.0,30.0
4875,28,43.5,55.0,19.0
4876,49,54.0,72.5,62.5
4877,33,46.0,27.5,25.5
4878,41,50.0,60.5,43.5
4879,20,39.5,35.0,44.0
4880,14,36.5,9.0,45.0
4881,33,46.0,60.5,21.5
4882,41,50.0,28.5,59.5
4883,69,64.0,64.5,65.5
4884,69,64.0,59.5,58.5
4885,49,54.0,60.5,40.5
4886,15,37.0,51.5,54.5
4887,20,39.5,52.0,45.0
4888,37,48.0,20.5,62.5
4889,28,43.5,28.0,60.0
4890,41,50.0,54.5,34.5
4891,28,43.5,30.0,14.0
4892,48,53.5,41.0,50.0
4893,61,60.0,63.5,38.5
4894,48,53.5,67.0,36.0
4895,42,50.5,62.0,61.0
4896,28,43.5,17.0,62.0
4897,28,43.5,59.0,35.0
4898,61,60.0,76.5,37.5
4899,68,63.5,58.0,39.0
4900,25,42.0,60.5,33.5
4901,28,43.5,35.0,61.0
4902,55,57.0,39.5,69.5
4903,48,53.5,66.0,66.0
4904,48,53.5,71.0,28.0
4905,32,45.5,61.0,25.0
4906,28,43.5,21.0,20.0
4907,32,45.5,33.0,36.0
4908,32,45.5,49.0,66.0
4909,28,43.5,20.0,20.0
4910,32,45.5,34.0,66.0
4911,42,50.5,32.0,23.0
4912,32,45.5,29.0,56.0
4913,16,37.5,41.0,24.0
4914,32,45.5,30.0,33.0
4915,28,43.5,24.0,53.0
4916,32,45.5,46.0,55.0
4917,43,51.0,37.5,27.5
4918,19,39.0,45.5,18.5
4919,28,43.5,42.0,53.0
4920,62,60.5,63.0,81.0
4921,43,51.0,28.5,27.5
4922,42,50.5,69.0,42.0
4923,43,51.0,43.5,37.5
4924,42,50.5,60.0,42.0
4925,47,53.0,32.5,67.5
4926,43,51.0,71.5,59.5
4927,43,51.0,67.5,60.5
4928,43,51.0,38.5,54.5
4929,47,53.0,58.5,63.5
4930,16,37.5,53.0,10.0
4931,29,44.0,29.5,16.5
4932,47,53.0,73.5,34.5
4933,31,45.0,49.5,61.5
4934,62,60.5,35.0,68.0
4935,47,53.0,28.5,66.5
4936,31,45.0,63.5,46.5
4937,31,45.0,63.5,54.5
4938,44,51.5,33.0,66.0
4939,46,52.5,72.0,72.0
4940,46,52.5,68.0,50.0
4941,46,52.5,66.0,71.0
4942,46,52.5,45.0,60.0
4943,44,51.5,42.0,35.0
4944,46,52.5,48.0,57.0
4945,37,48.0,60.5,55.5
4946,25,42.0,22.5,19.5
4947,44,51.5,23.0,71.0
4948,44,51.5,31.0,30.0
4949,44,51.5,29.0,53.0
4950,45,52.0,33.5,64.5
4951,31,45.0,38.5,64.5
4952,45,52.0,48.5,25.5
4953,31,45.0,26.5,33.5
4954,31,45.0,28.5,31.5
4955,16,38.0,16.0,34.0
4956,31,45.5,45.5,29.5
4957,57,58.5,38.5,67.5
4958,46,53.0,58.0,31.0
4959,37,48.5,64.5,55.5
4960,27,43.5,43.5,39.5
4961,61,60.5,39.5,66.5
4962,45,52.5,33.5,68.5
4963,50,55.0,73.0,36.0
4964,41,50.5,27.5,38.5
4965,53,56.5,71.5,74.5
4966,52,56.0,49.0,75.0
4967,38,49.0,48.0,39.0
4968,34,47.0,61.0,45.0
4969,56,58.0,49.0,67.0
4970,29,44.5,16.5,42.5
4971,25,42.5,57.5,41.5
4972,38,49.0,48.0,46.0
4973,35,47.5,66.5,27.5
4974,37,48.5,25.5,22.5
4975,52,56.0,40.0,36.0
4976,52,56.0,57.0,56.0
4977,46,53.0,50.0,51.0
4978,29,44.5,51.5,21.5
4979,38,49.0,67.0,34.0
4980,7,33.5,22.5,10.5
4981,57,58.5,55.5,41.5
4982,29,44.5,26.5,27.5
4983,35,47.5,34.5,39.5
4984,25,42.5,50.5,36.5
4985,29,44.5,51.5,57.5
4986,24,42.0,48.0,45.0
4987,64,62.0,50.0,53.0
4988,43,51.5,60.5,31.5
4989,42,51.0,53.0,25.0
4990,18,39.0,40.0,30.0
4991,66,63.0,33.0,37.0
4992,52,56.0,61.0,54.0
4993,42,51.0,60.0,24.0
4994,35,47.5,20.5,53.5
4995,55,57.5,41.5,54.5
4996,52,56.0,47.0,74.0
4997,14,37.0,14.0,31.0
4998,57,58.5,52.5,57.5
4999,64,62.0,74.0,60.0
5000,44,52.0,30.0,69.0
5001,35,47.5,64.5,67.5
5002,28,44.0,39.0,41.0
5003,28,44.0,40.0,54.0
5004,21,40.5,57.5,15.5
5005,43,51.5,36.5,55.5
5006,40,50.0,64.0,43.0
5007,43,51.5,41.5,45.5
5008,43,51.5,44.5,40.5
5009,28,44.0,15.0,27.0
5010,21,40.5,25.5,19.5
5011,28,44.0,50.0,26.0
5012,52,56.0,73.0,73.0
5013,39,49.5,46.5,20.5
5014,39,49.5,38.5,23.5
5015,44,52.0,65.0,38.0
5016,57,58.5,65.5,59.5
5017,68,64.0,56.0,43.0
5018,19,39.5,19.5,12.5
5019,28,44.0,19.0,37.0
5020,28,44.0,43.0,45.0
5021,28,44.0,34.0,31.0
5022,44,52.0,34.0,30.0
5023,31,45.5,47.5,41.5
5024,35,47.5,62.5,44.5
5025,72,66.0,61.0,57.0
5026,21,40.5,52.5,15.5
5027,54,57.0,58.0,43.0
5028,19,39.5,35.5,41.5
5029,55,57.5,45.5,58.5
5030,57,58.5,67.5,44.5
5031,28,44.0,21.0,42.0
5032,38,49.0,37.0,52.0
5033,28,44.0,31.0,39.0
5034,40,50.0,40.0,40.0
5035,42,51.0,56.0,30.0
5036,29,44.5,49.5,20.5
5037,29,44.5,34.5,37.5
5038,56,58.0,70.0,49.0
5039,43,51.5,38.5,68.5
5040,12,36.0,17.0,40.0
5041,39,49.5,30.5,50.5
5042,28,44.0,46.0,48.0
5043,57,58.5,63.5,54.5
5044,14,37.0,37.0,41.0
5045,18,39.0,17.0,32.0
5046,48,54.0,73.0,60.0
5047,39,49.5,67.5,29.5
5048,28,44.0,40.0,44.0
5049,28,44.0,60.0,19.0
5050,33,46.5,20.5,30.5
5051,32,46.0,63.0,41.0
5052,60,60.0,35.0,36.0
5053,35,47.5,40.5,47.5
5054,21,40.5,44.5,17.5
5055,14,37.0,19.0,14.0
5056,40,50.0,47.0,43.0
5057,48,54.0,29.0,52.0
5058,39,49.5,52.5,32.5
5059,32,46.0,63.0,19.0
5060,25,42.5,31.5,41.5
5061,51,55.5,69.5,53.5
5062,40,50.0,27.0,28.0
5063,35,47.5,36.5,18.5
5064,21,40.5,60.5,35.5
5065,32,46.0,45.0,29.0
5066,49,54.5,69.5,38.5
5067,33,46.5,46.5,17.5
5068,74,67.0,39.0,41.0
5069,40,50.0,32.0,27.0
5070,41,50.5,58.5,61.5
5071,49,54.5,39.5,39.5
5072,33,46.5,65.5,63.5
5073,36,48.0,39.0,45.0
5074,32,46.0,66.0,66.0
5075,53,56.5,42.5,35.5
5076,40,50.0,67.0,20.0
5077,68,64.0,47.0,52.0
5078,37,48.5,48.5,43.5
5079,33,46.5,64.5,47.5
5080,21,40.5,53.5,42.5
5081,21,40.5,16.5,47.5
5082,49,54.5,46.5,50.5
5083,28,44.0,53.0,25.0
5084,67,63.5,67.5,59.5
5085,33,46.5,25.5,38.5
5086,14,37.0,39.0,28.0
5087,58,59.0,71.0,52.0
5088,37,48.5,61.5,25.5
5089,35,47.5,36.5,27.5
5090,35,47.5,36.5,39.5
5091,54,57.0,34.0,70.0
5092,26,43.0,30.0,28.0
5093,13,36.5,9.5,14.5
5094,26,43.0,60.0,48.0
5095,67,63.5,75.5,82.5
5096,60,60.0,47.0,52.0
5097,58,59.0,40.0,52.0
5098,21,40.5,36.5,57.5
5099,71,65.5,71.5,50.5
5100,25,42.5,55.5,44.5
5101,24,42.0,15.0,44.0
5102,40,50.0,20.0,20.0
5103,44,52.0,30.0,39.0
5104,40,50.0,28.0,53.0
5105,34,47.0,48.0,63.0
5106,35,47.5,35.5,65.5
5107,41,50.5,67.5,65.5
5108,58,59.0,52.0,55.0
5109,45,52.5,53.5,30.5
5110,54,57.0,77.0,34.0
5111,41,50.5,36.5,68.5
5112,26,43.0,45.0,24.0
5113,39,49.5,64.5,54.5
5114,50,55.0,63.0,43.0
5115,35,47.5,34.5,40.5
5116,44,52.0,59.0,57.0
5117,45,52.5,46.5,47.5
5118,36,48.0,33.0,66.0
5119,58,59.0,63.0,45.0
5120,51,55.5,68.5,54.5
5121,14,37.0,22.0,19.0
5122,58,59.0,50.0,29.0
5123,33,46.5,27.5,42.5
5124,32,46.0,27.0,55.0
5125,32,46.0,23.0,24.0
5126,51,55.5,27.5,58.5
5127,41,50.5,48.5,57.5
5128,41,50.5,42.5,43.5
5129,20,40.0,22.0,31.0
5130,34,47.0,35.0,50.0
5131,35,47.5,43.5,39.5
5132,32,46.0,49.0,53.0
5133,24,42.0,32.0,37.0
5134,38,49.0,22.0,36.0
5135,58,59.0,76.0,50.0
5136,35,47.5,17.5,40.5
5137,32,46.0,34.0,45.0
5138,25,42.5,16.5,12.5
5139,18,39.0,10.0,37.0
5140,25,42.5,32.5,22.5
5141,38,49.0,43.0,67.0
5142,55,57.5,40.5,68.5
5143,18,39.0,19.0,41.0
5144,56,58.0,29.0,65.0
5145,62,61.0,39.0,42.0
5146,25,42.5,25.5,53.5
5147,67,63.5,48.5,43.5
5148,43,51.5,63.5,66.5
5149,55,57.5,43.5,38.5
5150,56,58.0,57.0,39.0
5151,48,54.0,48.0,39.0
5152,14,37.0,48.0,34.0
5153,39,49.5,47.5,25.5
5154,32,46.0,30.0,63.0
5155,47,53.5,36.5,34.5
5156,42,51.0,67.0,42.0
5157,29,44.5,56.5,63.5
5158,39,49.5,26.5,19.5
5159,48,54.0,45.0,36.0
5160,43,51.5,58.5,35.5
5161,25,42.5,57.5,21.5
5162,25,42.5,35.5,16.5
5163,23,41.5,17.5,39.5
5164,55,57.5,53.5,72.5
5165,50,55.0,65.0,58.0
5166,51,55.5,33.5,33.5
5167,46,53.0,62.0,63.0
5168,27,43.5,23.5,36.5
5169,26,43.0,24.0,62.0
5170,46,53.0,43.0,38.0
5171,40,50.0,43.0,27.0
5172,46,53.0,68.0,66.0
5173,40,50.0,60.0,55.0
5174,21,40.5,40.5,41.5
5175,18,39.0,57.0,58.0
5176,56,58.0,28.0,50.0
5177,42,51.0,65.0,57.0
5178,23,41.5,21.5,29.5
5179,48,54.5,47.0,38.0
5180,32,46.5,60.0,41.0
5181,40,50.5,47.0,21.0
5182,49,55.0,37.5,47.5
5183,39,50.0,39.5,23.5
5184,40,50.5,63.0,51.0
5185,33,47.0,27.5,63.5
5186,40,50.5,28.0,27.0
5187,26,43.5,21.0,30.0
5188,39,50.0,28.5,23.5
5189,48,54.5,37.0,64.0
5190,32,46.5,35.0,62.0
5191,39,50.0,35.5,24.5
5192,39,50.0,49.5,37.5
5193,50,55.5,56.0,50.0
5194,40,50.5,25.0,55.0
5195,54,57.5,46.0,68.0
5196,40,50.5,35.0,32.0
5197,32,46.5,22.0,25.0
5198,45,53.0,46.5,41.5
5199,27,44.0,55.5,42.5
5200,39,50.0,60.5,23.5
5201,39,50.0,58.5,53.5
5202,53,57.0,74.5,49.5
5203,60,60.5,35.0,48.0
5204,60,60.5,61.0,56.0
5205,35,48.0,37.5,25.5
5206,32,46.5,64.0,59.0
5207,32,46.5,55.0,47.0
5208,39,50.0,50.5,34.5
5209,58,59.5,67.0,41.0
5210,38,49.5,36.0,44.0
5211,54,57.5,31.0,74.0
5212,21,41.0,40.5,32.5
5213,32,46.5,18.0,57.0
5214,41,51.0,50.5,36.5
5215,32,46.5,24.0,48.0
5216,41,51.0,56.5,25.5
5217,54,57.5,60.0,56.0
5218,32,46.5,30.0,51.0
5219,63,62.0,44.5,46.5
5220,34,47.5,48.0,22.0
5221,32,46.5,50.0,17.0
